name,address,contact,email,areaOfWork,isBmcPartner,ward
Healing Mind,"10-B, Vinky Villa, 20th Road, Khar (W), Mumbai- 400052.",8591046126,healingmind02@gmail.com,Health - Mental Health,false,Not working with BMC
Hi 5 Youth Foundation,"Wing B2 - Unit 204, Kanakia Boomerang, Chandivali Farm Road, Andheri (E), Mumbai � 400072",9772233432,anshul@hi5youthfoundation.co m,"Empower Underprivileged Youth In Basketball,  Fostering Skill Development And Team Participation. Cultivate Excellence Through A Multi-Level Program,  Nurturing Success And Character. Instill Belief And Self-Confidence,  Enabling Children To Envision And Achieve Their Potential.",true,"Education Department Working With Bmc Sports Department  K East , P South, G South and TWard"
Hutama Rajaguru Seva Sahakari Sanstha Ltd,"Rambhau Bhogle Marg, Opp. Rani Baug, Byculla (E), Mumbai - 400027",9869308254,"chandrashekharakanade@gmail.com",Community cooperative activities,true,"SWM, Environment, Health and Maintainence Department,  E Ward & D Ward."
Ichars Support Foundation,"Address: Dlh Swakrut, Sahakar Nagar, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053",8080208473,info@idaindia.org,Health - Mental Health,false,Not working with BMC
"Indian  Medical Association, Vasectomy  Center","Ima Mws Building, 2Nd Floor J.R. Mhatre Marg, Behind Chandan Cinema, J.V.P.D Scheme, Juhu, Mumbai, Maharashtra 400049",7506735383/ 8928348578,imamsmumbai@yahoo.co.in,"Improving Physical,  Mental,  Psychological And Social Health Of People",true,"Health Department , G South"
Indian Development Foundation,"L 10/ 3 And 4, Jal Ratan Deep, Bangure Nagar, Goregaon West, Mumbai, Maharashtra 400104",7400206574,connect@idf.org.in,Poverty Alleviation - 1. Health 2. Education 3. Women Empowerment And Development,true,"Health Department, Kwest"
Indian Development Foundation,"L 10/ 3 And 4 Jal Ratan Deep, Bangur Nagar, Goregaon West, Mumbai, Maharashtra 400104",7400206574,connect@idf.org.in,Health - 1.Proverty Alleviation 2.Healthcare 3.Community Development 4.Other Services,true,P South  Ward
Indian Development Foundation-Idf,"L 10 / 3 & 4 Jal Ratan Deep, Bangur Nagar, Goregaon (West), Mumbai 400104. Maharashtra, India.",74002 06574 / 85916 77781,connect@idf.org.in/ info@idf.org.in,"Community Development - To Improve The Quality Of Education Through Targeted Interventions Across Three Main Verticals. (A) Access To Education,  (B) Provision To Education,  And (C) Promotion Of Education.",true,P South  Ward
Innate Mind,"Divine Castle, 3Rd Floor, Sunita Kutir, Cross Rd No. 4, Liberty Garden, Malad West, Mumbai, Maharashtra 400064",9326825780,disha@innatemind.org,Health - Mental Health,false,Not working with BMC
Institute Of Social Service Chuim Community Centre Nirmala Nivas,"Pyari Nagar, Opp. Nagori Milk Centre, Khar Dhanda, Chuim Village Rd, Hanuman Nagar, Khar West, Mumbai, Maharashtra 400052",9167594235,chuimcommunitycentre@gmail. com,"Women Empowerment,  Healthcare, Vocational Training",false,Not working with BMC
Jagruti Vikas Bahuudeshya Sanstha Goregaon,"Plot No. 313, 3 Floor, Sra Chs, Bhoomi Building, Sanjay Nagar, Cama Estate, Valbhat Road, Goregaon (East), 600 063.",9867888028,jagrutivikasbs2019@gmail.com,Multi-purpose social development,false,Not working with BMC
Jamnalal Bajaj Foundation,"Bajaj Bhawan, 2Nd Floor, Jamnalal Bajaj Marg, 226, Nariman Point, Mumbai 400 021. India.",22-2202 3626/22- 6942 4200,info@jamnalalbajajfoundation. org,Community Development - 1.Healthcare And Education 2.Community Development 3.Art Cultural And Sports 4.Legacy,false,Not working with BMC
Jan Jagran Seva Sangh,"Room No. 289, Part- 3Ganesh Murti Nagar, Captain Prakash Pethe Marga, Colaba.",9920112624,singhbrijkumar1963@gmail.co m,"Community service, festivals, health camps, youth activities.",true,"SWM,  A Ward"
Jankalyansamajiksevasanstha,"517, Swami Vivekananda Chs 90 Fit Road Dharavi Mumbai 400 017",9820913533,bhandarianath1@gmail.com,Community & Social Welfare,true,"SWM, G/N Ward"
Jay Khodiyal Maa Seva Santha,"Garib Janta Nagar, Cup Parade, Captain Prakash Pethe Marga, Colaba",7400101444,nileshone123@gmail.com,Social & community welfare Religious and cultural activities,true,"SWM,  A Ward"
Jay Mahakali Mahila Mandal,"Laxmi Nagar, Chandramani Society, Link Road, Goregaon (West), Mumbai: 400 104.",9594089752 / 9167614754,jaimahakalim@yahoo.com,Women empowerment SHG activities & micro-savings,true,"SWM, P South"
Jetvan Seva Sangh,"Bhagatsingh Nagar No. 2, Shrirang Sable Marg, Link Road, Goregaon (West), Mumbai: 400 104.",9819576879 / 9867607000,raosahebghoderao9@gmail.co m,"Community service, festivals, health camps, youth activities.",false,Not working with BMC
Kailas Nagari Sahakari Sanstha,"Prem Nagar, S.V Road , Vileparle West",9372939809,mahadevmore921@gmail.com,Social Welfare,false,Not working with BMC
Kalalaya Nrithya Academy,"House Rd, Hsc, Om Cooperative Housing Society, 2A/002, Chandivali Farm Rd, Opp Sinhgad Institute, Chandivali, Powai, Mumbai, Maharashtra 400072",9870060522,knafoundation1@gmail.com,Art And Heritage,false,Not working with BMC
Kamla Sundaram Foundation [Ksf],"Plot No. 153, Road No. 9, Major Parmeshwaran Road, Opp. S.I.W.S College Gate No. 3, Wadala, Mumbai, Maharashtra 400031",9920241419,secretary.ajfle@gmail.com,(I) Early Detection And Prevention Of Ocular Comorbidities Related To Type 2 Diabetes Among Patients Undergoing Treatment For Dm In Mcgm Dispensaries; (Ii) Project Is Functional Since 2018. Program Was Not Working From March 2020 To 31St May 2021 Due To Covid-19 Related,true,Health Department
Kankali seva bhavi sanstha,Room No 20 Ashirwad Chs Sant Kakkayya Marg Dharavi Mumbai400417,9987986161,kankaliss 2011@gmail.com,Golden Hour Foundation,true,"SWM,  G/N Ward"
Kapadia Judo Club,"Tank Ln, Navin Nagar, Willingdon, Santacruz (West), Mumbai, Maharashtra 400054",9821519467,kapadiajudoclub@gmail.com,Nargis Dutt Foundation,true,"Education Department , H West"
Karunya Trust,"Bishop House, B/38, Iit P.O, Hanuman Road, Powai, Mumbai, Maharashtra 400076",8692877037 / 2225785515,karunyatrustkdsa@gmail.com,Education And Training - 1. Women Welfare 2. Vocational Training 3. Child Rights And Welfare 4. Poverty Alleviation,true,"Health Department  , S Ward"
Kasturi Mahila Seva Bhavi Sanstha,"B.I.T Chawl, Building No. 3/3, Keshavrao Khade Marg, Byculla, Mumbai � 400011, Maharashtra .",9820709008,Not Specified,SHG development Skill training for women,true,SWM
Kcrafting Lives,"201, 2Nd Floor, Dilkap Center Andheri Kurla, New Link Rd, Andheri East, Mumbai, Maharashtra 400072",8928752186,pandit.paulomi@gmail.com,Health - 1.Mental Health 2.Maternal Health,true,K East  Ward
Khaire Umad Trust,"B.I.T. Chawl, Imamwada Compound, Opp. Saboo Siddique Hospital, Mumbai, Maharashtra 400009",9221937753,ku.diagnosticcentre@gmail.com,"Diagnostic Centre,  Education Help,  Medical Help,  Women Empowerment,  Career Guidance Events.",true,Health Department  B (Social Welfare)
Kripa Foundation,"Address: 81/A Chapel Road Mt. Carmel Church, Bandra(W) Mumbai 400050.",9324692520,kripainquiry@gmail.com,Tata Memorial Centre,true,H West Ward (Women Empowerment)
Learning Links Foundation,"2nd Floor, Plot No.2, OCF Pocket, Sector C, Nelson Mandela Road, Vasant Kunj, Delhi",7030423708/9673379997,rupa.bhattacharya@learninglin ksindia.org,Education - To Foster Purpose And Progress By Unlocking Lifelong Learning.,true,Education Department
Leonard Cheshire Disability,"Bethlehem House, Opposite Canosa High School Behind Sacred Heart Church Mahakali Caves Road, Andheri East Mumbai-400093",2247489330,info.mumbai@chesireindia.org,Health - Disability Support,true,K East  Ward
Lions Club,"904 Swing Appartment, Marve Road, Malad West Mumbai 400064",9820652187,Not Specified,"Global service: health, education, environment, disaster relief",true,Health Department
Lion'S Club,"Trade Star, C-604, Andheri-Kurla Rd, Andheri East, Mumbai, Maharashtra 400059",9664935872,Not Specified,Health for Citizens.,true,"Health Department , T Ward"
Lions Clubs International Foundation India,"C � 604, Trade Star, Andheri Kurla Road, Andheri (E), Mumbai � 400059",2261217900,lcifindia@lionsclubs.org,Environment And Climate - 1. Environment Protection,true,Health Department
Lions Clubs International Foundation India,"C, Trade Star, 604, Andheri Kurla Rd, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400059",2261217900,lcifsocial@lionsclubs.org,"Societal Benefits - 1. Other Societal Benefits-International 2. Environment Protection 3. Hunger,  Food Insecurity",true,Health Department
Lions Clubsinternational Foundation India,"C, Trade Star, 604, Andheri Kurla Rd, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400059",2261217900,lcifsocial@lionsclubs.org,"Poverty Alleviation - Working For Community Development. Focuses On Hunger,  Childhood Cancer,  Vision,  Youth,  Disaster Relief, Humanitarians,  Diabetes And Health",true,Health Department
Little Angel Ashram,"Patil Wadi, Madh, Mumbai, Maharashtra 400061",9769327170,Not Specified,"Orphanages - Shelter,  Food And Education For Orphaned And Underprivileged Children",true,P North  Ward
Lokseva Samiti,"Bhagatsingh Nagar No. 1, Hanuman Galli, Link Road, Goregaon (W),Mumbai: 400 104.",9821711855 / 9833907684,subhashkharuse77@gmail.com,"Community service, festivals, health camps, youth activities.",true,SWM
M/S . Adarsh Berojgar Seva Sahkari Sanstha (Ltd.),Acharya Nagar C-Op Soc. Ltd Room No. 1016 Siddharth Colony Chembur,9892447919,adarshberojgar2012@gmail.co m,Employment facilitation Vocational/skill development,true,"Disaster Department,  M/W Ward"
M/S . Atdeep Bhav Berojgar Seva Sahakari Sanstha (Ltd.),Indira Nagar Sindhi Camp Chembur,9833123477,atadeepbhavberojgar@gmail.co m,Jobs & skill training Cooperative support for small entrepreneurs,true,"Disaster Department,  M/W Ward"
M/S . Bheem Shakti Mahila Mandal,"P.L Lokhande Marg,Dr. Babasaheb Ambedkar Pre Primary School Chembur",9967160097,bmmchembur@gmail.com,Women empowerment & leadership SHG savings activity,true,SWM
M/S . Utkarsh Nagri Seva Sahkari Sanstha,"Siddharth Colony Plot No.140,Budh Vihar Chembur",9594298923,deepaknirbhavne2017@gmail.c om,Cooperative banking / credit services Financial literacy,false,Not working with BMC
M/S . Yogita Mahila Seva Sanstha,"Bhim Nagar Rahiwashi Sangh, 7 No. Galli Siddharth Colony Chembur",8425964123,yogitamahilaseva sanstha @gmail.com,SHG activities / Women�s livelihood programs,false,Not working with BMC
M/S Devine Infratech,"C 901, Central Avenue Chs, Dr. Dadasaheb Bhadankar Marg, Mumbai Central, Mumbai - 400008.",8080607162 / 9004373733 / 9772598889,infrateckdivine@gmail.com,Social Welfare,true,Maintainence Department (P South Ward)
M/S Parivartan Berojgar Sevak Sahakari Sanstha,"Bdd.Chawl No. 86, Sane Guruji Maidan, Narayan Wakrikar Marg, Worli , Mumbai -400018",9892856026,parivartan2003@gmail.com,Social Welfare,true,SWM F South & F North
M/S Rashtriya Seva Mandal,"14/601 Shanti Niketan Co.Opp Society,Kannamvaar Nagar -1 Vikhroli East",9820731668,pradeepgamre07@gmail.com,National integration & social welfare Community development,true,"SWM Department,  C & E Ward"
M/S Saidham Sevabhavi Sanstha,"23/24 Bit Chawl, Madhavrav Gaangan Marg, Agripada,Mumbai-11",9820709008,saidhamss@yahoo.com,Social Welfare,true,SWM E Ward
M/S Sia Srushti Seva Sanstha,"Room No.09 ,80/H, Baithi Chawl, Chikhal Pada,  Mumbai Central, Mumbai -400008",9323811169,saisrushtisevasangha@gmail.co m,Social Welfare,false,Not working with BMC
Mahakali Mahila Mandal,"Hanuman Tekdi (Sai Nagar), Near Virvani Estate, Goregaon (East), Mumbai: 400 063.",8828484955 / 9004076677,mahakalimahila1@gmail.com,SHG / savings & credit Skill training for women,true,"Education Department, P South Ward"
Mahanagar Educational Charitable Trust,"703, Shreeram Chs, Building No. 3, Yashwant Nagar, Teen Dongri, Goregaon (W.), Mumbai: 400 104.",9987454598 / 7506761442,sagarbhadrike88@gmail.com,Education & social development,true,"SWM Department, P South Ward"
Mahatma Phulae Sahakari Sanstha,"Opp. Rani Baug, Byculla (E), Mumbai - 400027",9869308254,chandrashekarakanade@gmail. com,"Cooperative development, social welfare",true,"Health & Maintainence Department,  C & D Ward"
Mahila Shakti-Women Welfare,"Mahila Shakti Of South Mumbai, Mumbadevi Mandir, Cimpound Near Bmc Garden, Kamnath Chamber, Kalbadevi Road, Mumbai 400002",9892487573,info@mahilashakti.co.in,Poverty Alleviation - 1. Women Welfare,false,Not working with BMC
Majlis Law,"Golden Valley, Building No.4, Wing A 2/4, Sunder Nagar Rd No 1, Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra 400098",2226662394/8291162877 / 07506732641,majlislaw@gmail.com,Legal - Legal Aid - Legal & Social Support To Women And Children Victims Of Sexual And Domestic Violence.,false,Not working with BMC
Manav Foundation,"319,Tantia Jogani Industrial Premises, J.R. Boricha Marg, Sitaram Mill, Lowere Parel, Mumbai 400011",8355871716,info@manavfoundation.org.in,Education And Training - 1. Schizophrenia 2. Mental Health 3. Vocational Training,false,Not working with BMC
Mann,"Gate 1, 3/10 Yashwant Nagar, Goregaon West Opp Anmol Fortune F Wing, Mumbai, Maharashtra 400104",9819566439,info@mann.org.in,Health - Disability Support,true,"Education Department P South , D Ward , H East Ward"
Mansoori Manav Vikas Foundation,1St Floor Dr.Ambedkar Nagar Nav Pada Kurla Vidiya Vihar Road Kurla West Mumbai.400070,9323786883 / 8080014006,mansoorimvfoundation@gmail. com,Community Development - 1. Poverty Alleviation 2. Community Development,true,Health Department L Ward and M West
Marol Mahila Vasti Star Sangh,Near Marol Naka,9867395226,Not Specified,"Education,  Health",true,"Education, Health  Dept"
Mata Jakhama Sahakari Sanstha,Prem Nagar Chal Iarla Andheri West,9372939809,shivanandakadam220@gamil.c om,Social Welfare,false,Not working with BMC
Mba Foundation,"Vanrai 10/ J-1, S.R.A. Sahakari Gruhanirman, Sanstha Ltd, Room No. 1 And 3, Sangharsh Nagar Chandivali Farm Road, Andheri East, Mumbai, Maharashtra 400072",2227795994/ 2227795995/ 9619064801,lifecare.diabled@gmail.com,Health - 1.Disability Support 2.Vocational Training,false,Not working with BMC
Meerabra,"Backstage, Plot No. 612, 15th Road, Junction of Ramakrishna Mission Road, Santacruz West, Mumbai, Maharashtra 400054",8850924020,Not Specified,Social Welfare,false,Not working with BMC
Meghashrey Ngo,"Almeida Park Marg, Bandra West, Mumbai, Maharashtra 400050",9820033862,meghashrey.ngo@gmail.com,Uplift The Less Privileged Sections Of The Society,true,Education Department  A to T Ward
Meghraja Mahila Vasti Star Sangh,"6th Floor, New Safalya Building, 602, Kherwadi Rd, near Old Post Office, Khar (E, Kherwadi, Bandra East, Mumbai, Maharashtra 400051",8652059829,Not Specified,"Women Empowerment,  Livelihood",true,Education Department (P North Ward)
Meherroshani Foundation,"15, Building No.15, Maitri Chs, Azad Nagar 1, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053",9820700821,info@meherroshanifoundation. org,Education And Training - 1. Education And Literacy. 2. Vocational Training,false,Not working with BMC
Mesco Trust,"1 And 2, Plot No 423, Landmark Building, Next To Johnson And Johnson, Near Saraswati Mandir School, Senapati Bapat Marg, Mahim(W), Mumbai, Maharashtra 400016",2224441442/2224 4448637,mescotrust@mescotrust.org,Education And Training - 1. Scholarships And Educational Awards 2. Poverty Alleviation 3. Education And Literacy.,false,Not working with BMC
Mpower -The Foundation,"1/155, 15, Nyaymurthi Sitaram Patkar Marg, Khareghat Colony, Hughes Road, Mumbai, Maharashtra 400007",9702800044,mpowermindes.info@abet.co.in,Health - Mental Health,true,Education Department D Ward
"Mukkamaar, Ishita Sharma Foundation","22-C, Sangini House, Aramnagar 1, Jp Road, Versova, Andheri West, Mumbai - 400061.",8017508964,ekmukkamaar@gmail.com,Our Vision Is �A World With Gender Equity�. It Is Our Mission To Build Agency In 25 Million Girls In India.,true,"Education Department, M East, N Ward, F North, RC , A, H East, L , K EAST, P North, P South Ward"
Muktangan Education Trust,"Muktangan Education Trust, I-11/12,Paragon Condominium, Pandurang Budhkar Marg, Worli, Mumbai-13",9819018103,deelipsatose@muktanganedu.o rg,"Education  - To Create An Inclusive And An Empowered World That Enables Everyone To Live In Harmony With A Right To Freedom Of Expression,  Respect And With Integrity.",true,Education Department  G South Ward
Mumbai City Boxing Association Mcba,"Uma Niwas, 27, Kashinath Dhuru Marg, Dadar West, Mumbai, Maharashtra 400028",09820059672 93223 27393,jaykowli@gmail.com / mumbaiboxing2004@gmail.co m,"Our Vision Is To Provide Quality Training Opportunity Of Olympic Sport Of Boxing To MCGM School Students At All 8 Zones Of Mumbai City also to Introduce these Young Girls & Boys to a Disciplined,  Healthy, Sporting Life & To Produce An Olympic Gold Medalist Boxer From our MCGM Schools Boxing Project.",true,Education Department   G North Ward
Mumbai Mobile Creches,"1St Floor, Abbas Building, Mereweather Road, Colaba, Mumbai, Maharashtra 400001",2222020869/2222 020879,contact@mmcmail.org.in,Education And Training - 1. Education And Literacy. 2. Community Development 3. Immigrants Of Refugees,false,Not working with BMC
Muskan Foundation,"15, Prashanti, Opp Mhada Building, Near Matoshree Bunglow, Kalanagar, Bandra East, Mumbai, Maharashtra 400051",2235643797/9930 386115,contact@muskanfoundation.or g.in,Education And Training - 1. Disability Support 2. Blind- Visually Impaired 3. Vocational Training,true,Education Department H East  Ward
My Mind Gains,"Shop No 17, Behind D Building, Balgovindas Society, Landmark: Opp Jain Temple, Near Starcity Cinema. Mahim (W), Mumbai - 400016",8850707156,mymindgains@gmail.com,Health - Mental Health,false,Not working with BMC
Myudaan Trust,"7Th Floor, Mafatlal Centre, Ramnath Goenka Marg, Nariman Point, Mumbai - 400021.",9224199501,vandanagoregaokar@gmail.co m,Quality Education For Underprivileged,true,Education Department   A and C Ward
Nanhi Pari Foundation,"Office No 101, First Floor M Block, Nanhi Pari Ngo, Ranjit Studio Compound, Dada Saheb Phalke Marg, Dadar East, Dadar, Mumbai, Maharashtra 400014",9987921222  /22- 40043236 / 96642 78673,taxcertificate@nanhiparifounda tion.org,Health - 1.Poverty Alleviation 2.Education And Career Guidance 3.Free Healthcare,false,Not working with BMC
Nanhi Pari Foundation,"Office No 101, First Floor, Block, Ranjit Studio Compound, Dadasaheb Phalke Road, Dadar East, Mumbai 400014",9664278673,info@nanhiparifoundation.org,Education And Training - 1. Poverty Alleviation 2. Education And Literacy 3. Free Healthcare,false,Not working with BMC
Nargisdutt Foundation,"Nargis Dutt Foundation, Sunrise Building, 2Nd Floor, 24Th Road, Off Linking Road, Bandra (W), Mumbai 400 050.",(022) 2600 4583,info@nargisduttfoundation.co m,"Health - 1.Rural Development 2.Free Healthcare -Runs 4 Programs Under Healthcare Initiative ,  Conducting Cancer Screening Camps, Providing For Cancer Patients,etc 3.Educatiuon And Literacy",false,Not working with BMC
Nargisdutt Foundation,"Nargis Dutt Foundation, Sunrise Building, 2Nd Floor, 24Th Road, Off Linking Road, Bandra (W), Mumbai 400 050.",2226004583,info@nargisduttfoundation.co m,"Community Development - Health,  Education And Rural Development,  Healthcare  Initiative,  Conducting Cancer Screening Camps,  Providing Support For Cancer Patients",false,Not working with BMC
Nari Shahar Samuh,"Gauri Shankar, Wadi No 1, Devi Krupa Society, Panth Nagar, Ghatkopar, Mumbai",9619293395,contact@narisamuhsakhi.com,"Livelihood,  Swatcch Bharat Mission,  Urban Homeless",true,Ac Planning  Women Empowerment  N Ward
"National Association For The Blind,Mumbai","Nab, 11-12 Khan Abdul Gaffar Khan Road, Worli Sea Face, Mumbai - 400030", 9372766313/9372766320,hsg@nabindia.info administration@nabindia.info,Health - Visually Impaired,false,Not working with BMC
Navdrushti,"Dr. Nagesh Tekale, Bliss �C� 302, Vasant Oscar Hsg. Soc, Lbs Marg, Mulund(W), Mumbai � 400 080",9869612531/022 25646879,ngonavdrushti@gmail.com,Health - 1.Free Eye Care 2.Vocational Training 3.Community Development,false,Not working with BMC
Navdurga Vasti Star Sangh,Not Specified,8355973473,Not Specified,"Swatcch Bharat Mission,  Health",false,Not working with BMC
Rangoonwala  Foundation,"102, Lions Pioneer High School, Bhau Daji Road, Matunga, Mumbai, Maharashtra 400019",7385098623 / 022- 24161110 /022- 24168746,niramayahealth@gmail.com,"Focuses On The Healthcare Of Children, Adolescent Girls And Woman In Reproductive Age Group,  Migrant Workers And Rag Pickers In The Dumping Ground",false,Not working with BMC
Om Abode,"Anand Niketan, King George V Memorial Project, Dr. E.Moses Rd, Mumbai, Maharashtra 400011",9372533562,enquiries@omabode.org,Education And Training - 1. Vocational Training,false,Not working with BMC
Om Abode,"Anand Niketan, King George V Memorial Project, Dr. E. Moses Road, Mumbai 400 011",9372533562,enquiries@omabode.org,Health - 1.Disability Support 2.Vocational Training,false,Not working with BMC
Om Creation Trust,"Anand Niketan, King George V Memorial, Dr. Elijah Moses Rd, Near To Kishav Ravkhadhi Rd, Mahalakshmi, Mumbai, Maharashtra 400011",8879211312,omcreationtrust@gmail.com,Poverty Alleviation - 1. Disability Support 2. Women Welfare,false,Not working with BMC
Omkar Seva Sangh (Reg),"Bounder Road,Mazgav Mumbai 400010.",9224774990,omkarsevasanghreg6079@gmai l.com,"Community service, festivals, health camps, youth activities.",true,"SWM,  E Ward"
Oscar Ngo,"104, 1St Floor Varma Chambers 11 Homji Street, Near Horniman Circle, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",9967218287,info@oscar-foundation.org,"Education,  Sports",true,Health Department  A Ward
Our Children,"A1 And 2, 2Nd Floor, Everest, 156, Tardeo Road, Mumbai, Maharashtra 400034",2223523377,info@ourchildrenindia.org,"Orphanages - Education,  Teaching Life Skills And Mentoring Children",false,Not working with BMC
Palak Berojgar Seva Sahkari Sanstha Maryadit,"1, Shile Industies Udhyog Nagar, Near Kamat Club, Goregaon (W.), Mumbai: 400 062.",7666702257  / 8591518894,lalitmithe03@gmail.com,Employment & livelihood support Training and job linkage,true,SWM & Maintainence Department  (P South Ward)
Parents Association- Thalassemic Unit,"Vijay Chembers, 20A, Tribhuvan Road, Opp Dream Land Cinema, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004",2223855728,Not Specified,Health - Blood Diseases,false,Not working with BMC
Parisar Asha,"101-104, Dunhill Villa, Besant Street, Off S. V Road, Santa Cruz (West) Mumbai - 400054, India",9819816206,aarati.savur@parisarasha.com,"Our Mission Is To Provide A Joyful,  Holistic And Child Centric Quality Education Through The Environment, For The Environment,  That Will Empower Children To Be Creative, Sensitive & Successful Positive Global Citizens.",true,Education Department  H East Ward
Parkinsons Disease And Movements Disorder Society,"102, Parvati Industrial Premises, New Sun Mill Compound, Lower Parel West, Mumbai 400013",9987216057,pdmds.india@gmail.com,Health - 1.Parkinson'S 2.Healthcare 3.Other Services,false,Not working with BMC
Peta- People For The Ethical Treatment Of Animals India,"Plot No 127/16, Mhada Colony, Andheri West, Mumbai, Maharashtra 400061",022-40727382,info@petaindia.org,Animal Welfare - 1. Animal Welfare & Rescue,false,
Pi Jam Foundation,"Mantri Manor, B16, Lane Number 5, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001",9820803677,pranjali.pathak@thepijam.org,Education,true,Education Department   (A To T Ward)
Poonam Mahila Seva Sahkari Sanstha Maryadit,"Jawahar Nagar Road No. 16, Plot No. 299, Goregaon (W), Mumbai: 400 062.",9892042331 / 9967873605,dubeypoonam36@gmail.com,"Financial inclusion, cooperative savings, women�s welfare",true,Education Department (Borivali and Malad)
Pragati Mahila Mandal,"Sundar Nagari Lala Nigam Road, Colaba",9221480263,sandhyagonsalves94@gmail.co m,"Financial inclusion, cooperative savings, women�s welfare",true,"Disaster Department,  A Ward"
Pragati Mahila Vikas Sanstha,"Room No 99, Parsi Chaala Kala Killa Dharavi Mumbai 400 017",9870812354,"pargtimahilavikassantha@gmail.com","Financial inclusion, cooperative savings, women�s welfare",true,"Disaster Department,  G/N Ward"
Pratham Mumbai Education Initiative,"Y.B.Chavan Center,4Th Floor, Gen. J. Bhosale Marg, Nariman Point, Mumbai, Maharashtra 400021",9619900168 / 2222819561,shilpa.backup@pratham.org info@pratham.org,Education And Training - 1. Education 2. Vocational Training 3. Employment And Career Guidance,true,Education Department
Prayatna,"Lady Of Lourdes Church, Orlem, Malad West, Mumbai, Maharashtra 400064",9702263970,info@prayatna-ngo.org.in,Poverty Alleviation - 1. Child Rights And Welfare 2. Women Welfare 3. Free Food Distribution,true,Education Department
Prerana Ngo,Not Specified,9594218769,Not Specified,Education & Skill Development,true,"Health Department ,  E Ward"
Prerna Sanstha,Not Specified,9821274865,Not Specified,Social Welfare,false,Not working with BMC
Priti Berojgar Seva Sahkari Sansth Maryadit,"C/13, Vivekanand Nagar, S.V. Road, Near Sant. John School, Goregaon (W.), Mumbai: 400 104.",9967152854 / 9702524756,priti.seva2010@gmail.com,Skill development / Job facilitation for unemployed persons,true,"SWM, Pest Control , A To T ward"
R D Sethna Scholarship Fund,"Esplanade House, 29 Hazarimal Somani Marg, Fort, Mumbai 400001",2222077044,rdsethnascholarship@gmail.co m,Education And Training - 1. Education And Litreacy,false,Not working with BMC
Raksha Foundation,"Unit No. 29, Ground Floor, Laxmi Woollen Mill Estate, Shakti Mills Ln, Off Dr. E. Moses Road, Mumbai, Maharashtra 400011",9082198551,Not Specified,Animal Welfare - 1. Sterilization Drive 2. Vaccination Drive,true,G South Ward
Ramai Seva Mandal,Geeta Nagar,9967240578,Not Specified,"Financial inclusion, cooperative savings, women�s welfare",true,"Disaster Department,  A Ward"
Rangoonwala Community Center,Not Specified, 9970348437 / 9833005603 / 9167241530,Not Specified,"Work With Communities,  Work On Health, Work With Youth,  Work On Capacity Building",true,Health Department  K East
Rangoonwala Community Centre,"Room No. 3, Usha Sadan, Opp. Ganesh Maidan, Anand Wadi, Malad East, Mumbai, Maharashtra 400097",9273077599 / 8425987058 / 9870504582 / 9833005603,rcc.anadwadi@gmail.com,"Work With Communities,  Work On Health, Work With Youth,  Work On Capacity Building",true,Health Department
Rangoonwala Community Centre,"Room No. 11, Sardar Niranjan Singh Chawl, Jogeshwari East, Mumbai, Maharashtra 400060",9833005603,rcc.shivtekdi@gmail.com,"Work With Communities,  Work On Health, Work With Youth,  Work On Capacity Building.",true,"Health Department  , P North, P South, R South , K East, K west."
Rangoonwala Foundation India Trust,"85, Atlanta, Nariman Point, Mumbai 400 021, India.",22-66612553,info@rangoonwala.org,"Community Development - 1) Vocational Training, 2) Community Development Education And Training - 1. Women Welfare 2. Human Trafficking 3. Vocational Training",true,"Health Department K East, K West, Malad E , Kandivali E , Goregaon, R South Ward"
Rawalnath Mahila Bachat Gat,"Shiv Hind Chawl, Jay Hind Mitra Mandal, Teen Dongri, Goregaon (W), Mumbai: 400 104.",9320644023 / 9967098847,sameer_khedekar4479@rediff mail.com,"Women empowerment, self-help savings, income generation.",false,Not working with BMC
Raww- Resqink Assosiation For Wildlife Welfare,"107 B Wing, The Nest, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",7666680202/9869 780202,raww.office@gmail.com,Animal Welfare - 1. Wildlife,false,Not working with BMC
Rotary Club Of Mhada,Not Specified,9820827891,Not Specified,Social Welfare & Community Development,false,Not working with BMC
Rubaroo Breaking Silences Foundation,"2Nd Floor/Room 7, Prem Baug, 218, 218, Sir Bhalchandra Rd, Matunga Central Railway Workshop, Mumbai, Maharashtra 400019, Indias",9769557878,rubarooindia@gmail.com,A Child Sexual Abuse Free Society For Happier And Safe Children.,false,Not working with BMC
Sahyogita Mahila Bachat Gat,"Sawant Chawl, Shivaji Nagar, Goregaon (E.), Mumbai: 400 065.",9323191920 / 7303553729,sanyogitagat@gmail.com,"Women empowerment, self-help savings, income generation.",false,Not working with BMC
